"Request Source	Country Code	Asset Id	Originating System ID"
"FEDORA	AU	9923879958901921	oai:bir.brandeis.edu:10192/26315"
"FEDORA	AU	9923879960001921	oai:bir.brandeis.edu:10192/24061"
"FEDORA	AU	9923879960301921	oai:bir.brandeis.edu:10192/31813"
"FEDORA	AU	9923879961101921	oai:bir.brandeis.edu:10192/23150"
"FEDORA	AU	9923879963401921	oai:bir.brandeis.edu:10192/23212"
"FEDORA	AU	9923879964201921	oai:bir.brandeis.edu:10192/33812"
"FEDORA	AU	9923879964501921	oai:bir.brandeis.edu:10192/30491"
"FEDORA	AU	9923879965301921	oai:bir.brandeis.edu:10192/23882"
"FEDORA	AU	9923879966001921	oai:bir.brandeis.edu:10192/30678"
"FEDORA	AU	9923879968101921	oai:bir.brandeis.edu:10192/24079"
"FEDORA	AU	9923879968301921	oai:bir.brandeis.edu:10192/27051"
"FEDORA	AU	9923879969801921	oai:bir.brandeis.edu:10192/30599"
"FEDORA	AU	9923879971601921	oai:bir.brandeis.edu:10192/30731"
"FEDORA	AU	9923879971701921	oai:bir.brandeis.edu:10192/26290"
"FEDORA	AU	9923879972401921	oai:bir.brandeis.edu:10192/30533"
"FEDORA	AU	9923879972801921	oai:bir.brandeis.edu:10192/24260"
"FEDORA	AU	9923879973701921	oai:bir.brandeis.edu:10192/32049"
"FEDORA	AU	9923879974001921	oai:bir.brandeis.edu:10192/29"
"FEDORA	AU	9923879974701921	oai:bir.brandeis.edu:10192/27077"
"FEDORA	AU	9923879975401921	oai:bir.brandeis.edu:10192/32273"
"FEDORA	AU	9923879975501921	oai:bir.brandeis.edu:10192/33898"
"FEDORA	AU	9923879975901921	oai:bir.brandeis.edu:10192/32473"
"FEDORA	AU	9923879976101921	oai:bir.brandeis.edu:10192/33876"
"FEDORA	AU	9923879976601921	oai:bir.brandeis.edu:10192/32312"
"FEDORA	AU	9923879977001921	oai:bir.brandeis.edu:10192/32368"
"FEDORA	AU	9923879977901921	oai:bir.brandeis.edu:10192/32107"
"FEDORA	AU	9923879978601921	oai:bir.brandeis.edu:10192/33912"
"FEDORA	AU	9923879978701921	oai:bir.brandeis.edu:10192/24379"
"FEDORA	AU	9923879980001921	oai:bir.brandeis.edu:10192/33893"
"FEDORA	AU	9923879980101921	oai:bir.brandeis.edu:10192/27098"
"FEDORA	AU	9923879980401921	oai:bir.brandeis.edu:10192/26316"
"FEDORA	AU	9923879980801921	oai:bir.brandeis.edu:10192/27210"
"FEDORA	AU	9923879981801921	oai:bir.brandeis.edu:10192/32090"
"FEDORA	AU	9923879982101921	oai:bir.brandeis.edu:10192/25236"
"FEDORA	AU	9923879982801921	oai:bir.brandeis.edu:10192/26312"
"FEDORA	AU	9923879982901921	oai:bir.brandeis.edu:10192/33880"
"FEDORA	AU	9923879983901921	oai:bir.brandeis.edu:10192/32391"
"FEDORA	AU	9923879984001921	oai:bir.brandeis.edu:10192/27081"
"FEDORA	AU	9923879984701921	oai:bir.brandeis.edu:10192/23257"
"FEDORA	AU	9923879985101921	oai:bir.brandeis.edu:10192/33831"
"FEDORA	AU	9923879985401921	oai:bir.brandeis.edu:10192/33775"
"FEDORA	AU	9923879986101921	oai:bir.brandeis.edu:10192/27054"
"FEDORA	AU	9923879986501921	oai:bir.brandeis.edu:10192/32"
"FEDORA	AU	9923879987101921	oai:bir.brandeis.edu:10192/24399"
"FEDORA	AU	9923879988501921	oai:bir.brandeis.edu:10192/25310"
"FEDORA	AU	9923879989001921	oai:bir.brandeis.edu:10192/32255"
"FEDORA	AU	9923879990001921	oai:bir.brandeis.edu:10192/24533"
"FEDORA	AU	9923879990301921	oai:bir.brandeis.edu:10192/23239"
"FEDORA	AU	9923880012001921	oai:bir.brandeis.edu:10192/23861"
"FEDORA	AU	9923880012401921	oai:bir.brandeis.edu:10192/35292"
"FEDORA	AU	9923880013001921	oai:bir.brandeis.edu:10192/25010"
"FEDORA	AU	9923880013201921	oai:bir.brandeis.edu:10192/30582"
"FEDORA	AU	9923880013501921	oai:bir.brandeis.edu:10192/27710"
"FEDORA	AU	9923880013601921	oai:bir.brandeis.edu:10192/23859"
"FEDORA	AU	9923880014501921	oai:bir.brandeis.edu:10192/30552"
"FEDORA	AU	9923880014701921	oai:bir.brandeis.edu:10192/32314"
"FEDORA	AU	9923880014801921	oai:bir.brandeis.edu:10192/25433"
"FEDORA	AU	9923880014901921	oai:bir.brandeis.edu:10192/32087"
"FEDORA	AU	9923880015201921	oai:bir.brandeis.edu:10192/26326"
"FEDORA	AU	9923880015401921	oai:bir.brandeis.edu:10192/33907"
"FEDORA	AU	9923880016401921	oai:bir.brandeis.edu:10192/24386"
"FEDORA	AU	9923880017101921	oai:bir.brandeis.edu:10192/25195"
"FEDORA	AU	9923880018001921	oai:bir.brandeis.edu:10192/30632"
"FEDORA	AU	9923880019201921	oai:bir.brandeis.edu:10192/26"
"FEDORA	AU	9923880019901921	oai:bir.brandeis.edu:10192/21"
"FEDORA	AU	9923880021501921	oai:bir.brandeis.edu:10192/31120"
"FEDORA	AU	9923880022301921	oai:bir.brandeis.edu:10192/24425"
"FEDORA	AU	9923880024601921	oai:bir.brandeis.edu:10192/25073"
"FEDORA	AU	9923880024701921	oai:bir.brandeis.edu:10192/23233"
"FEDORA	AU	9923880024801921	oai:bir.brandeis.edu:10192/25432"
